Date,Narration,Withdrawal,Deposit,Balance
26-02-2024,UPI/POS: APOLLO PHARMACY,955.42,0.0,254887.30000000002
28-02-2024,UPI/POS: ATM WITHDRAWAL,9007.79,0.0,245879.51
02-03-2024,UPI: RENT,30000.0,0.0,215879.51
02-03-2024,UPI/POS: PRACTO,938.73,0.0,214940.78
02-03-2024,UPI: RENT,30000.0,0.0,184940.78
02-03-2024,UPI/POS: ATM WITHDRAWAL,9986.04,0.0,174954.74
03-03-2024,NEFT: CLIENT PAYMENT,0.0,55918.78,230873.52
04-03-2024,NEFT: CLIENT PAYMENT,0.0,30868.9,261742.41999999998
05-03-2024,UPI/POS: ATM WITHDRAWAL,9358.36,0.0,252384.06
07-03-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,242384.06
07-03-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,232384.06
08-03-2024,UPI/POS: UBER,342.55,0.0,232041.51
08-03-2024,UPI/POS: APOLLO PHARMACY,308.17,0.0,231733.34
09-03-2024,UPI/POS: UPI: RAHUL SPLIT,886.6,0.0,230846.74
10-03-2024,POS: NETFLIX,649.0,0.0,230197.74
10-03-2024,POS: NETFLIX,649.0,0.0,229548.74
12-03-2024,UPI/POS: ATM WITHDRAWAL,7969.89,0.0,221578.84999999998
15-03-2024,UPI/POS: INDIAN OIL,1813.66,0.0,219765.18999999997
16-03-2024,NEFT: CLIENT PAYMENT,0.0,76161.07,295926.26
17-03-2024,UPI/POS: ZOMATO,534.06,0.0,295392.2
20-03-2024,UPI/POS: STARBUCKS,391.46,0.0,295000.74
20-03-2024,UPI/POS: SWIGGY,364.79,0.0,294635.95
20-03-2024,UPI/POS: STARBUCKS,388.4,0.0,294247.55
21-03-2024,UPI/POS: APOLLO PHARMACY,627.33,0.0,293620.22
24-03-2024,UPI/POS: UPI: MAID,2940.03,0.0,290680.18999999994
26-03-2024,UPI/POS: ZOMATO,609.66,0.0,290070.52999999997
01-04-2024,UPI/POS: NAMMA METRO,189.68,0.0,289880.85
02-04-2024,UPI/POS: AMAZON,1040.78,0.0,288840.06999999995
02-04-2024,UPI: RENT,30000.0,0.0,258840.06999999995
06-04-2024,UPI/POS: MCDONALDS,338.27,0.0,258501.79999999996
07-04-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,248501.79999999996
07-04-2024,UPI/POS: CULT FIT,1500.0,0.0,247001.79999999996
07-04-2024,UPI/POS: OLA CABS,253.57,0.0,246748.22999999995
10-04-2024,UPI/POS: INDIAN OIL,2946.27,0.0,243801.95999999996
10-04-2024,POS: NETFLIX,649.0,0.0,243152.95999999996
12-04-2024,UPI/POS: SWIGGY,434.39,0.0,242718.56999999995
12-04-2024,UPI/POS: D-MART,4870.46,0.0,237848.10999999996
14-04-2024,UPI/POS: BIGBASKET,2382.67,0.0,235465.43999999994
15-04-2024,UPI: GST PAYMENT,25000.0,0.0,210465.43999999994
16-04-2024,UPI/POS: UPI: MAID,2219.42,0.0,208246.01999999993
17-04-2024,UPI/POS: BIGBASKET,2379.24,0.0,205866.77999999994
18-04-2024,NEFT: CLIENT PAYMENT,0.0,57644.18,263510.95999999996
18-04-2024,UPI/POS: ATM WITHDRAWAL,6266.44,0.0,257244.51999999996
19-04-2024,UPI/POS: PRACTO,892.08,0.0,256352.43999999997
19-04-2024,NEFT: CLIENT PAYMENT,0.0,38949.75,295302.18999999994
22-04-2024,UPI/POS: PRACTO,841.98,0.0,294460.20999999996
27-04-2024,NEFT: CLIENT PAYMENT,0.0,46812.1,341272.30999999994
27-04-2024,NEFT: CLIENT PAYMENT,0.0,76902.02,418174.32999999996
28-04-2024,UPI/POS: BLINKIT,646.23,0.0,417528.1
01-05-2024,UPI/POS: ATM WITHDRAWAL,7910.27,0.0,409617.82999999996
02-05-2024,UPI: RENT,30000.0,0.0,379617.82999999996
03-05-2024,UPI/POS: INDIAN OIL,2489.05,0.0,377128.77999999997
03-05-2024,UPI/POS: UPI: MOM,2608.78,0.0,374519.99999999994
05-05-2024,UPI/POS: AMAZON,593.24,0.0,373926.75999999995
05-05-2024,UPI/POS: UPI: MOM,4184.98,0.0,369741.77999999997
05-05-2024,UPI/POS: MYNTRA,3261.06,0.0,366480.72
07-05-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,356480.72
08-05-2024,UPI/POS: PRACTO,514.47,0.0,355966.25
08-05-2024,UPI/POS: ATM WITHDRAWAL,2504.53,0.0,353461.72
10-05-2024,POS: NETFLIX,649.0,0.0,352812.72
13-05-2024,UPI/POS: ATM WITHDRAWAL,5129.57,0.0,347683.14999999997
15-05-2024,UPI/POS: PRACTO,637.02,0.0,347046.12999999995
16-05-2024,UPI/POS: MCDONALDS,489.48,0.0,346556.64999999997
17-05-2024,NEFT: CLIENT PAYMENT,0.0,52098.35,398654.99999999994
18-05-2024,NEFT: CLIENT PAYMENT,0.0,40860.86,439515.8599999999
20-05-2024,NEFT: CLIENT PAYMENT,0.0,46024.79,485540.6499999999
21-05-2024,UPI/POS: UPI: RAHUL SPLIT,435.25,0.0,485105.3999999999
22-05-2024,NEFT: CLIENT PAYMENT,0.0,75145.17,560250.57
23-05-2024,UPI/POS: SWIGGY,557.61,0.0,559692.96
23-05-2024,NEFT: CLIENT PAYMENT,0.0,73554.21,633247.1699999999
26-05-2024,UPI/POS: ATM WITHDRAWAL,3090.86,0.0,630156.3099999999
27-05-2024,UPI/POS: BLINKIT,476.91,0.0,629679.3999999999
31-05-2024,UPI/POS: FLIPKART,925.02,0.0,628754.3799999999
02-06-2024,UPI: RENT,30000.0,0.0,598754.3799999999
06-06-2024,NEFT: CLIENT PAYMENT,0.0,33755.59,632509.9699999999
06-06-2024,UPI/POS: SWIGGY,666.87,0.0,631843.0999999999
07-06-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,621843.0999999999
10-06-2024,POS: NETFLIX,649.0,0.0,621194.0999999999
10-06-2024,NEFT: CLIENT PAYMENT,0.0,65026.81,686220.9099999999
11-06-2024,UPI/POS: UPI: MAID,2926.75,0.0,683294.1599999999
11-06-2024,UPI/POS: UBER,346.43,0.0,682947.7299999999
13-06-2024,UPI/POS: STARBUCKS,409.93,0.0,682537.7999999998
13-06-2024,UPI/POS: INDIAN OIL,2057.9,0.0,680479.8999999998
15-06-2024,UPI/POS: ATM WITHDRAWAL,5451.96,0.0,675027.9399999998
17-06-2024,UPI/POS: OLA CABS,162.55,0.0,674865.3899999998
19-06-2024,UPI/POS: APOLLO PHARMACY,744.6,0.0,674120.7899999998
21-06-2024,UPI/POS: INSTAMART,303.98,0.0,673816.8099999998
21-06-2024,UPI/POS: D-MART,3133.95,0.0,670682.8599999999
22-06-2024,NEFT: CLIENT PAYMENT,0.0,68962.47,739645.3299999998
23-06-2024,UPI/POS: SWIGGY,695.11,0.0,738950.2199999999
23-06-2024,UPI/POS: FLIPKART,1740.73,0.0,737209.4899999999
25-06-2024,UPI/POS: CULT FIT,1500.0,0.0,735709.4899999999
27-06-2024,UPI/POS: STARBUCKS,336.57,0.0,735372.9199999999
30-06-2024,UPI/POS: NAMMA METRO,144.77,0.0,735228.1499999999
30-06-2024,UPI/POS: ATM WITHDRAWAL,8852.75,0.0,726375.3999999999
01-07-2024,NEFT: CLIENT PAYMENT,0.0,62117.37,788492.7699999999
01-07-2024,UPI/POS: PRACTO,668.54,0.0,787824.2299999999
01-07-2024,UPI/POS: UBER,353.49,0.0,787470.7399999999
01-07-2024,UPI/POS: SWIGGY,747.48,0.0,786723.2599999999
02-07-2024,UPI: RENT,30000.0,0.0,756723.2599999999
07-07-2024,UPI/POS: APOLLO PHARMACY,933.67,0.0,755789.5899999999
07-07-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,745789.5899999999
08-07-2024,NEFT: CLIENT PAYMENT,0.0,52705.27,798494.8599999999
09-07-2024,UPI/POS: INSTAMART,851.35,0.0,797643.5099999999
10-07-2024,POS: NETFLIX,649.0,0.0,796994.5099999999
11-07-2024,UPI/POS: FLIPKART,1049.37,0.0,795945.1399999999
11-07-2024,NEFT: CLIENT PAYMENT,0.0,60435.81,856380.95
14-07-2024,UPI: GST PAYMENT,25000.0,0.0,831380.95
17-07-2024,NEFT: CLIENT PAYMENT,0.0,66475.56,897856.51
20-07-2024,UPI/POS: ATM WITHDRAWAL,9087.84,0.0,888768.67
21-07-2024,UPI/POS: D-MART,2393.15,0.0,886375.52
21-07-2024,UPI/POS: PRACTO,783.12,0.0,885592.4
21-07-2024,UPI/POS: CULT FIT,1500.0,0.0,884092.4
21-07-2024,UPI/POS: BLINKIT,751.3,0.0,883341.1
24-07-2024,UPI/POS: INDIAN OIL,1814.7,0.0,881526.4
26-07-2024,NEFT: CLIENT PAYMENT,0.0,35201.22,916727.62
27-07-2024,UPI/POS: CULT FIT,1500.0,0.0,915227.62
30-07-2024,UPI/POS: SWIGGY,392.34,0.0,914835.28
01-08-2024,UPI/POS: PRACTO,646.1,0.0,914189.18
01-08-2024,UPI/POS: CULT FIT,1500.0,0.0,912689.18
02-08-2024,UPI: RENT,30000.0,0.0,882689.18
02-08-2024,UPI/POS: PRACTO,859.33,0.0,881829.8500000001
06-08-2024,UPI/POS: MCDONALDS,433.43,0.0,881396.42
07-08-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,871396.42
10-08-2024,POS: NETFLIX,649.0,0.0,870747.42
11-08-2024,UPI/POS: UBER,262.28,0.0,870485.14
12-08-2024,UPI/POS: SWIGGY,337.36,0.0,870147.78
15-08-2024,UPI/POS: ATM WITHDRAWAL,3325.68,0.0,866822.1
17-08-2024,UPI/POS: FLIPKART,1380.67,0.0,865441.4299999999
18-08-2024,UPI/POS: D-MART,3085.63,0.0,862355.7999999999
19-08-2024,NEFT: CLIENT PAYMENT,0.0,40396.31,902752.1099999999
21-08-2024,UPI/POS: ATM WITHDRAWAL,7067.45,0.0,895684.6599999999
24-08-2024,UPI/POS: UPI: RAHUL SPLIT,706.61,0.0,894978.0499999999
24-08-2024,NEFT: CLIENT PAYMENT,0.0,46655.88,941633.9299999999
25-08-2024,UPI/POS: STARBUCKS,446.48,0.0,941187.45
25-08-2024,UPI/POS: STARBUCKS,492.87,0.0,940694.58
25-08-2024,UPI/POS: ATM WITHDRAWAL,7422.02,0.0,933272.5599999999
29-08-2024,UPI/POS: UPI: MOM,3195.56,0.0,930076.9999999999
31-08-2024,UPI/POS: INDIAN OIL,1367.9,0.0,928709.0999999999
01-09-2024,UPI/POS: OLA CABS,343.26,0.0,928365.8399999999
02-09-2024,UPI: RENT,30000.0,0.0,898365.8399999999
03-09-2024,NEFT: CLIENT PAYMENT,0.0,73663.95,972029.7899999998
03-09-2024,UPI/POS: ATM WITHDRAWAL,6007.25,0.0,966022.5399999998
04-09-2024,UPI/POS: APOLLO PHARMACY,240.21,0.0,965782.3299999998
04-09-2024,UPI/POS: UPI: MAID,2080.18,0.0,963702.1499999998
05-09-2024,NEFT: CLIENT PAYMENT,0.0,62851.04,1026553.1899999998
07-09-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,1016553.1899999998
08-09-2024,NEFT: CLIENT PAYMENT,0.0,61918.5,1078471.69
10-09-2024,POS: NETFLIX,649.0,0.0,1077822.69
11-09-2024,UPI/POS: PRACTO,963.96,0.0,1076858.73
11-09-2024,UPI/POS: FLIPKART,818.72,0.0,1076040.01
11-09-2024,NEFT: CLIENT PAYMENT,0.0,38415.66,1114455.67
12-09-2024,NEFT: CLIENT PAYMENT,0.0,36679.85,1151135.52
15-09-2024,UPI/POS: UPI: MAID,1857.78,0.0,1149277.74
16-09-2024,UPI/POS: UPI: MOM,4324.64,0.0,1144953.1
17-09-2024,UPI/POS: PRACTO,575.07,0.0,1144378.03
18-09-2024,UPI/POS: PRACTO,703.18,0.0,1143674.85
18-09-2024,UPI/POS: STARBUCKS,342.65,0.0,1143332.2000000002
22-09-2024,UPI/POS: STARBUCKS,482.38,0.0,1142849.8200000003
22-09-2024,UPI/POS: CULT FIT,1500.0,0.0,1141349.8200000003
23-09-2024,NEFT: CLIENT PAYMENT,0.0,65669.76,1207019.5800000003
28-09-2024,UPI/POS: OLA CABS,194.44,0.0,1206825.1400000004
28-09-2024,NEFT: CLIENT PAYMENT,0.0,36701.17,1243526.3100000003
28-09-2024,UPI/POS: SWIGGY,643.91,0.0,1242882.4000000004
29-09-2024,UPI/POS: MYNTRA,2508.14,0.0,1240374.2600000005
30-09-2024,UPI/POS: MYNTRA,1951.6,0.0,1238422.6600000004
01-10-2024,UPI/POS: ATM WITHDRAWAL,5322.2,0.0,1233100.4600000004
02-10-2024,UPI: RENT,30000.0,0.0,1203100.4600000004
05-10-2024,UPI/POS: APOLLO PHARMACY,781.12,0.0,1202319.3400000003
06-10-2024,UPI/POS: OLA CABS,257.95,0.0,1202061.3900000004
07-10-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,1192061.3900000004
08-10-2024,UPI/POS: APOLLO PHARMACY,841.88,0.0,1191219.5100000005
09-10-2024,UPI/POS: UPI: RAHUL SPLIT,621.8,0.0,1190597.7100000004
09-10-2024,UPI/POS: MYNTRA,2795.28,0.0,1187802.4300000004
10-10-2024,POS: NETFLIX,649.0,0.0,1187153.4300000004
11-10-2024,NEFT: CLIENT PAYMENT,0.0,30061.48,1217214.9100000004
12-10-2024,UPI: GST PAYMENT,25000.0,0.0,1192214.9100000004
19-10-2024,UPI/POS: ZOMATO,671.83,0.0,1191543.0800000003
19-10-2024,UPI/POS: ATM WITHDRAWAL,3779.48,0.0,1187763.6000000003
19-10-2024,UPI/POS: PRACTO,770.7,0.0,1186992.9000000004
22-10-2024,UPI/POS: OLA CABS,301.94,0.0,1186690.9600000004
22-10-2024,UPI/POS: MCDONALDS,390.42,0.0,1186300.5400000005
25-10-2024,NEFT: CLIENT PAYMENT,0.0,59855.27,1246155.8100000005
28-10-2024,UPI/POS: INDIAN OIL,1413.23,0.0,1244742.5800000005
30-10-2024,UPI/POS: OLA CABS,276.75,0.0,1244465.8300000005
30-10-2024,UPI/POS: INSTAMART,591.79,0.0,1243874.0400000005
01-11-2024,NEFT: CLIENT PAYMENT,0.0,66247.62,1310121.6600000006
02-11-2024,UPI: RENT,30000.0,0.0,1280121.6600000006
03-11-2024,UPI/POS: PRACTO,569.28,0.0,1279552.3800000006
04-11-2024,UPI/POS: UPI: MOM,2388.4,0.0,1277163.9800000007
06-11-2024,NEFT: CLIENT PAYMENT,0.0,53707.79,1330871.7700000007
07-11-2024,ACH: MUTUAL FUND SIP,10000.0,0.0,1320871.7700000007
08-11-2024,UPI/POS: CULT FIT,1500.0,0.0,1319371.7700000007
09-11-2024,UPI/POS: AMAZON,2834.04,0.0,1316537.7300000007
10-11-2024,POS: NETFLIX,649.0,0.0,1315888.7300000007
10-11-2024,NEFT: CLIENT PAYMENT,0.0,77466.76,1393355.4900000007
12-11-2024,UPI/POS: UPI: MAID,1715.96,0.0,1391639.5300000007
14-11-2024,UPI/POS: UPI: RAHUL SPLIT,664.77,0.0,1390974.7600000007
14-11-2024,NEFT: CLIENT PAYMENT,0.0,75703.94,1466678.7000000007
16-11-2024,NEFT: CLIENT PAYMENT,0.0,50763.44,1517442.1400000006
18-11-2024,UPI/POS: UPI: MAID,1573.45,0.0,1515868.6900000006
19-11-2024,UPI/POS: MYNTRA,3288.09,0.0,1512580.6000000006
19-11-2024,UPI/POS: SWIGGY,683.9,0.0,1511896.7000000007
20-11-2024,UPI/POS: UBER,151.05,0.0,1511745.6500000006
21-11-2024,UPI/POS: UBER,176.8,0.0,1511568.8500000006
22-11-2024,UPI/POS: BLINKIT,491.38,0.0,1511077.4700000007
27-11-2024,UPI/POS: INSTAMART,681.85,0.0,1510395.6200000006
28-11-2024,UPI/POS: ZOMATO,691.34,0.0,1509704.2800000005
28-11-2024,NEFT: CLIENT PAYMENT,0.0,33685.56,1543389.8400000005
06-12-2024,UPI/POS: ATM WITHDRAWAL,3629.69,0.0,1539760.1500000006
06-12-2024,UPI/POS: CULT FIT,1500.0,0.0,1538260.1500000006
08-12-2024,UPI/POS: ATM WITHDRAWAL,8938.6,0.0,1529321.5500000005
09-12-2024,UPI/POS: AMAZON,660.62,0.0,1528660.9300000004
10-12-2024,UPI/POS: STARBUCKS,328.96,0.0,1528331.9700000004
14-12-2024,UPI/POS: BIGBASKET,2881.87,0.0,1525450.1000000003
14-12-2024,UPI/POS: NAMMA METRO,115.3,0.0,1525334.8000000003
19-12-2024,UPI/POS: INSTAMART,231.14,0.0,1525103.6600000004
20-12-2024,UPI/POS: FLIPKART,1541.99,0.0,1523561.6700000004
20-12-2024,UPI/POS: INSTAMART,660.98,0.0,1522900.6900000004
21-12-2024,UPI/POS: ATM WITHDRAWAL,2221.57,0.0,1520679.1200000003
22-12-2024,UPI/POS: ATM WITHDRAWAL,9644.9,0.0,1511034.2200000004
22-12-2024,UPI/POS: APOLLO PHARMACY,341.2,0.0,1510693.0200000005
23-12-2024,NEFT: CLIENT PAYMENT,0.0,50091.07,1560784.0900000005
