Date,Particulars,Balance,Amount
13-03-2024,UPI/POS: UPI: MOM,620011.43,-3822.75
13-03-2024,UPI/POS: AMAZON,617440.8200000001,-2570.61
15-03-2024,UPI/POS: FLIPKART,616655.5900000001,-785.23
17-03-2024,UPI/POS: AMAZON,614678.9500000001,-1976.64
17-03-2024,UPI/POS: FLIPKART,613634.6100000001,-1044.34
18-03-2024,UPI/POS: ZOMATO,613196.7100000001,-437.9
19-03-2024,UPI/POS: D-MART,610780.1100000001,-2416.6
20-03-2024,UPI/POS: MCDONALDS,610575.5100000001,-204.6
20-03-2024,UPI/POS: ATM WITHDRAWAL,608303.6800000002,-2271.83
22-03-2024,UPI/POS: FLIPKART,606926.7200000002,-1376.96
24-03-2024,UPI/POS: BLINKIT,606269.7300000002,-656.99
27-03-2024,UPI/POS: ATM WITHDRAWAL,596728.1200000002,-9541.61
28-03-2024,UPI/POS: ATM WITHDRAWAL,594097.2800000003,-2630.84
29-03-2024,UPI/POS: ATM WITHDRAWAL,591314.9700000002,-2782.31
01-04-2024,NEFT: SALARY CREDIT,791314.9700000002,200000.0
02-04-2024,UPI/POS: SWIGGY,790638.1300000002,-676.84
02-04-2024,UPI: RENT,750638.1300000002,-40000.0
04-04-2024,UPI/POS: STARBUCKS,750239.1400000002,-398.99
04-04-2024,UPI/POS: NAMMA METRO,750099.0300000003,-140.11
07-04-2024,UPI/POS: UPI: MOM,747730.9600000003,-2368.07
08-04-2024,UPI/POS: ZOMATO,747246.3000000003,-484.66
10-04-2024,POS: NETFLIX,746597.3000000003,-649.0
13-04-2024,UPI/POS: FLIPKART,745146.8100000003,-1450.49
14-04-2024,UPI/POS: ATM WITHDRAWAL,738513.6500000003,-6633.16
16-04-2024,UPI/POS: AMAZON,737226.2700000003,-1287.38
19-04-2024,UPI/POS: UPI: RAHUL SPLIT,736610.5200000003,-615.75
22-04-2024,UPI/POS: ATM WITHDRAWAL,732110.3100000003,-4500.21
24-04-2024,UPI/POS: SWIGGY,731656.7800000003,-453.53
25-04-2024,UPI/POS: ATM WITHDRAWAL,724153.1700000003,-7503.61
27-04-2024,UPI/POS: ZOMATO,723644.1400000002,-509.03
27-04-2024,UPI/POS: UPI: RAHUL SPLIT,723190.1100000002,-454.03
27-04-2024,UPI/POS: UPI: RAHUL SPLIT,722364.7900000003,-825.32
27-04-2024,UPI/POS: ATM WITHDRAWAL,716396.1800000003,-5968.61
27-04-2024,UPI/POS: ATM WITHDRAWAL,709978.5000000002,-6417.68
28-04-2024,UPI/POS: MYNTRA,707867.7600000002,-2110.74
28-04-2024,UPI/POS: BIGBASKET,705361.3900000002,-2506.37
28-04-2024,UPI/POS: UPI: RAHUL SPLIT,704945.2700000003,-416.12
01-05-2024,NEFT: SALARY CREDIT,904945.2700000003,200000.0
01-05-2024,UPI/POS: STARBUCKS,904488.7900000003,-456.48
01-05-2024,UPI/POS: D-MART,902463.6000000003,-2025.19
01-05-2024,UPI/POS: UPI: MAID,900568.7200000003,-1894.88
02-05-2024,UPI: RENT,860568.7200000003,-40000.0
02-05-2024,UPI/POS: FLIPKART,858727.0700000003,-1841.65
02-05-2024,UPI/POS: AMAZON,855752.2500000003,-2974.82
04-05-2024,UPI/POS: ATM WITHDRAWAL,850749.0200000004,-5003.23
04-05-2024,UPI/POS: UPI: RAHUL SPLIT,850523.3400000003,-225.68
07-05-2024,UPI/POS: UPI: MOM,848269.5100000004,-2253.83
08-05-2024,UPI/POS: MYNTRA,847263.2800000004,-1006.23
08-05-2024,UPI/POS: PRACTO,846671.0000000003,-592.28
10-05-2024,POS: NETFLIX,846022.0000000003,-649.0
10-05-2024,UPI/POS: UBER,845817.7500000003,-204.25
11-05-2024,UPI/POS: BLINKIT,845275.0800000003,-542.67
13-05-2024,UPI/POS: FLIPKART,843850.1500000003,-1424.93
17-05-2024,UPI/POS: NAMMA METRO,843730.5900000002,-119.56
17-05-2024,UPI/POS: MYNTRA,841537.1000000002,-2193.49
19-05-2024,UPI/POS: FLIPKART,840427.1800000002,-1109.92
19-05-2024,UPI/POS: ZOMATO,840036.9500000002,-390.23
22-05-2024,UPI/POS: D-MART,837928.9400000002,-2108.01
24-05-2024,UPI/POS: FLIPKART,836073.3200000002,-1855.62
26-05-2024,UPI/POS: BIGBASKET,834105.6700000002,-1967.65
31-05-2024,UPI/POS: MCDONALDS,833772.5900000002,-333.08
01-06-2024,UPI/POS: ATM WITHDRAWAL,827904.8600000002,-5867.73
01-06-2024,NEFT: SALARY CREDIT,1027904.8600000002,200000.0
02-06-2024,UPI/POS: INSTAMART,1027018.7200000002,-886.14
02-06-2024,UPI: RENT,987018.7200000002,-40000.0
06-06-2024,UPI/POS: AMAZON,985454.8300000002,-1563.89
07-06-2024,UPI/POS: NAMMA METRO,985400.9000000001,-53.93
08-06-2024,UPI/POS: D-MART,981087.0400000002,-4313.86
09-06-2024,UPI/POS: ZOMATO,980433.4200000002,-653.62
09-06-2024,UPI/POS: UPI: MOM,977071.3200000002,-3362.1
10-06-2024,POS: NETFLIX,976422.3200000002,-649.0
10-06-2024,UPI/POS: ATM WITHDRAWAL,973626.8800000002,-2795.44
11-06-2024,UPI/POS: FLIPKART,971964.2200000002,-1662.66
12-06-2024,UPI/POS: INSTAMART,971102.9000000003,-861.32
14-06-2024,UPI/POS: UPI: RAHUL SPLIT,970578.7000000003,-524.2
15-06-2024,UPI/POS: ATM WITHDRAWAL,963001.4800000003,-7577.22
17-06-2024,UPI/POS: ATM WITHDRAWAL,959114.8300000003,-3886.65
18-06-2024,UPI/POS: INDIAN OIL,957994.1800000003,-1120.65
18-06-2024,UPI/POS: UPI: MAID,955380.5500000003,-2613.63
19-06-2024,UPI/POS: AMAZON,953014.9200000003,-2365.63
22-06-2024,UPI/POS: MCDONALDS,952421.4200000003,-593.5
23-06-2024,UPI/POS: APOLLO PHARMACY,951955.2100000003,-466.21
26-06-2024,UPI/POS: NAMMA METRO,951794.7500000003,-160.46
30-06-2024,UPI/POS: ATM WITHDRAWAL,949691.3500000003,-2103.4
01-07-2024,NEFT: SALARY CREDIT,1149691.3500000003,200000.0
02-07-2024,UPI: RENT,1109691.3500000003,-40000.0
02-07-2024,UPI/POS: UPI: MOM,1105581.9300000004,-4109.42
02-07-2024,UPI/POS: D-MART,1102703.0000000005,-2878.93
02-07-2024,UPI/POS: D-MART,1099003.9900000005,-3699.01
04-07-2024,UPI/POS: UPI: MAID,1097044.5800000005,-1959.41
06-07-2024,UPI/POS: FLIPKART,1095804.8500000006,-1239.73
07-07-2024,UPI/POS: SWIGGY,1095109.0300000005,-695.82
08-07-2024,UPI/POS: PRACTO,1094132.9900000005,-976.04
08-07-2024,UPI/POS: AMAZON,1093171.8600000006,-961.13
09-07-2024,UPI/POS: STARBUCKS,1092888.1300000006,-283.73
10-07-2024,POS: NETFLIX,1092239.1300000006,-649.0
10-07-2024,UPI/POS: PRACTO,1091492.1000000006,-747.03
12-07-2024,UPI/POS: ATM WITHDRAWAL,1084857.6900000006,-6634.41
18-07-2024,UPI/POS: SWIGGY,1084327.0400000007,-530.65
18-07-2024,UPI/POS: CULT FIT,1082827.0400000007,-1500.0
21-07-2024,UPI/POS: BLINKIT,1082313.6400000008,-513.4
21-07-2024,UPI/POS: APOLLO PHARMACY,1081368.000000001,-945.64
23-07-2024,UPI/POS: STARBUCKS,1080899.530000001,-468.47
24-07-2024,UPI/POS: MYNTRA,1078529.000000001,-2370.53
25-07-2024,UPI/POS: UPI: MOM,1074227.510000001,-4301.49
26-07-2024,UPI/POS: PRACTO,1073314.480000001,-913.03
01-08-2024,UPI/POS: ZOMATO,1072895.820000001,-418.66
01-08-2024,NEFT: SALARY CREDIT,1272895.820000001,200000.0
02-08-2024,UPI/POS: INDIAN OIL,1271754.350000001,-1141.47
02-08-2024,UPI: RENT,1231754.350000001,-40000.0
04-08-2024,UPI/POS: NAMMA METRO,1231647.820000001,-106.53
05-08-2024,UPI/POS: MYNTRA,1228441.430000001,-3206.39
07-08-2024,UPI/POS: D-MART,1225698.310000001,-2743.12
07-08-2024,UPI/POS: ZOMATO,1224909.630000001,-788.68
07-08-2024,UPI/POS: AMAZON,1222851.780000001,-2057.85
08-08-2024,UPI/POS: MCDONALDS,1222333.700000001,-518.08
10-08-2024,POS: NETFLIX,1221684.700000001,-649.0
11-08-2024,UPI/POS: BIGBASKET,1219075.8600000008,-2608.84
12-08-2024,UPI/POS: CULT FIT,1217575.8600000008,-1500.0
12-08-2024,UPI/POS: INDIAN OIL,1216138.8000000007,-1437.06
12-08-2024,UPI/POS: ATM WITHDRAWAL,1208482.3200000008,-7656.48
13-08-2024,UPI/POS: OLA CABS,1208207.4400000009,-274.88
16-08-2024,UPI/POS: INDIAN OIL,1206277.210000001,-1930.23
18-08-2024,UPI/POS: D-MART,1203022.560000001,-3254.65
20-08-2024,UPI/POS: NAMMA METRO,1202899.700000001,-122.86
21-08-2024,UPI/POS: BLINKIT,1202568.320000001,-331.38
22-08-2024,UPI/POS: INSTAMART,1202276.320000001,-292.0
25-08-2024,UPI/POS: CULT FIT,1200776.320000001,-1500.0
26-08-2024,UPI/POS: AMAZON,1199297.850000001,-1478.47
30-08-2024,UPI/POS: NAMMA METRO,1199120.190000001,-177.66
30-08-2024,UPI/POS: UPI: MAID,1196911.620000001,-2208.57
30-08-2024,UPI/POS: BLINKIT,1196464.510000001,-447.11
01-09-2024,NEFT: SALARY CREDIT,1396464.510000001,200000.0
02-09-2024,UPI: RENT,1356464.510000001,-40000.0
04-09-2024,UPI/POS: UPI: RAHUL SPLIT,1355834.290000001,-630.22
06-09-2024,UPI/POS: OLA CABS,1355487.800000001,-346.49
07-09-2024,UPI/POS: ATM WITHDRAWAL,1348342.6800000009,-7145.12
10-09-2024,UPI/POS: BLINKIT,1347989.740000001,-352.94
10-09-2024,POS: NETFLIX,1347340.740000001,-649.0
11-09-2024,UPI/POS: PRACTO,1346538.250000001,-802.49
12-09-2024,UPI/POS: NAMMA METRO,1346437.9200000009,-100.33
12-09-2024,UPI/POS: UPI: MAID,1344242.1900000009,-2195.73
12-09-2024,UPI/POS: BIGBASKET,1342493.980000001,-1748.21
14-09-2024,UPI/POS: UBER,1342117.070000001,-376.91
14-09-2024,UPI/POS: ZOMATO,1341781.410000001,-335.66
15-09-2024,UPI/POS: D-MART,1339524.330000001,-2257.08
18-09-2024,UPI/POS: APOLLO PHARMACY,1339311.380000001,-212.95
22-09-2024,UPI/POS: BLINKIT,1338948.940000001,-362.44
23-09-2024,UPI/POS: SWIGGY,1338214.330000001,-734.61
23-09-2024,UPI/POS: BLINKIT,1337479.790000001,-734.54
25-09-2024,UPI/POS: UPI: MAID,1335570.9400000009,-1908.85
25-09-2024,UPI/POS: UPI: MAID,1333856.3400000008,-1714.6
29-09-2024,UPI/POS: SWIGGY,1333072.2600000007,-784.08
30-09-2024,UPI/POS: MCDONALDS,1332505.5900000008,-566.67
01-10-2024,NEFT: SALARY CREDIT,1532505.5900000008,200000.0
02-10-2024,UPI/POS: UPI: MOM,1527510.200000001,-4995.39
02-10-2024,UPI: RENT,1487510.200000001,-40000.0
05-10-2024,UPI/POS: UBER,1487156.4200000009,-353.78
06-10-2024,UPI/POS: NAMMA METRO,1487010.1600000008,-146.26
06-10-2024,UPI/POS: MYNTRA,1484598.000000001,-2412.16
07-10-2024,UPI/POS: APOLLO PHARMACY,1484039.330000001,-558.67
07-10-2024,UPI/POS: OLA CABS,1483645.780000001,-393.55
08-10-2024,UPI/POS: FLIPKART,1482296.550000001,-1349.23
08-10-2024,UPI/POS: BIGBASKET,1480783.710000001,-1512.84
08-10-2024,UPI/POS: MCDONALDS,1480486.9000000008,-296.81
10-10-2024,POS: NETFLIX,1479837.9000000008,-649.0
12-10-2024,UPI/POS: NAMMA METRO,1479731.750000001,-106.15
13-10-2024,UPI/POS: BLINKIT,1479267.550000001,-464.2
17-10-2024,UPI/POS: ATM WITHDRAWAL,1470400.420000001,-8867.13
19-10-2024,UPI/POS: PRACTO,1469848.810000001,-551.61
20-10-2024,UPI/POS: INDIAN OIL,1468306.250000001,-1542.56
23-10-2024,UPI/POS: UPI: RAHUL SPLIT,1467861.600000001,-444.65
23-10-2024,UPI/POS: APOLLO PHARMACY,1466863.520000001,-998.08
24-10-2024,UPI/POS: ATM WITHDRAWAL,1457943.200000001,-8920.32
25-10-2024,UPI/POS: ATM WITHDRAWAL,1453249.1800000009,-4694.02
30-10-2024,UPI/POS: BLINKIT,1452493.6800000009,-755.5
01-11-2024,NEFT: SALARY CREDIT,1652493.6800000009,200000.0
02-11-2024,UPI: RENT,1612493.6800000009,-40000.0
03-11-2024,UPI/POS: ATM WITHDRAWAL,1609013.4400000009,-3480.24
03-11-2024,UPI/POS: PRACTO,1608465.8800000008,-547.56
07-11-2024,UPI/POS: UPI: MOM,1605812.9400000009,-2652.94
08-11-2024,UPI/POS: OLA CABS,1605596.040000001,-216.9
10-11-2024,POS: NETFLIX,1604947.040000001,-649.0
11-11-2024,UPI/POS: OLA CABS,1604772.810000001,-174.23
12-11-2024,UPI/POS: FLIPKART,1603564.060000001,-1208.75
12-11-2024,UPI/POS: D-MART,1599007.270000001,-4556.79
15-11-2024,UPI/POS: UBER,1598840.700000001,-166.57
16-11-2024,UPI/POS: MCDONALDS,1598580.6700000009,-260.03
17-11-2024,UPI/POS: ATM WITHDRAWAL,1590742.270000001,-7838.4
18-11-2024,UPI/POS: INSTAMART,1590041.040000001,-701.23
19-11-2024,UPI/POS: MYNTRA,1588233.110000001,-1807.93
19-11-2024,UPI/POS: UPI: MOM,1585805.180000001,-2427.93
21-11-2024,UPI/POS: ATM WITHDRAWAL,1577803.070000001,-8002.11
21-11-2024,UPI/POS: SWIGGY,1577324.350000001,-478.72
21-11-2024,UPI/POS: AMAZON,1576634.9700000011,-689.38
22-11-2024,UPI/POS: INSTAMART,1576011.910000001,-623.06
23-11-2024,UPI/POS: NAMMA METRO,1575890.4900000012,-121.42
24-11-2024,UPI/POS: ATM WITHDRAWAL,1567986.880000001,-7903.61
27-11-2024,UPI/POS: MYNTRA,1564256.600000001,-3730.28
27-11-2024,UPI/POS: BLINKIT,1563561.740000001,-694.86
27-11-2024,UPI/POS: ATM WITHDRAWAL,1560596.800000001,-2964.94
27-11-2024,UPI/POS: FLIPKART,1558759.020000001,-1837.78
28-11-2024,UPI/POS: STARBUCKS,1558349.310000001,-409.71
01-12-2024,UPI/POS: INSTAMART,1557473.860000001,-875.45
04-12-2024,UPI/POS: UPI: MAID,1555924.370000001,-1549.49
04-12-2024,UPI/POS: OLA CABS,1555587.320000001,-337.05
06-12-2024,UPI/POS: MYNTRA,1551780.420000001,-3806.9
06-12-2024,UPI/POS: ATM WITHDRAWAL,1542522.570000001,-9257.85
06-12-2024,UPI/POS: UPI: MAID,1540232.380000001,-2290.19
09-12-2024,UPI/POS: FLIPKART,1539527.7200000011,-704.66
12-12-2024,UPI/POS: ZOMATO,1539206.2900000012,-321.43
12-12-2024,UPI/POS: UPI: RAHUL SPLIT,1538424.3200000012,-781.97
16-12-2024,UPI/POS: UPI: MOM,1535498.0400000012,-2926.28
17-12-2024,UPI/POS: FLIPKART,1533606.5100000012,-1891.53
18-12-2024,UPI/POS: BLINKIT,1533199.920000001,-406.59
18-12-2024,UPI/POS: UBER,1532883.330000001,-316.59
23-12-2024,UPI/POS: BIGBASKET,1531210.410000001,-1672.92
24-12-2024,UPI/POS: INDIAN OIL,1528321.850000001,-2888.56
