Value Date,Transaction Remarks,Withdrawal Amt (INR),Deposit Amt (INR),Balance (INR)
10-02-2024,POS: FLIPKART,807.35,0.0,262282.94000000035
10-02-2024,POS: MYNTRA,3250.84,0.0,259032.10000000036
10-02-2024,UPI/POS: UBER,344.28,0.0,258687.82000000036
10-02-2024,POS: MYNTRA,2738.11,0.0,255949.71000000037
11-02-2024,POS: STARBUCKS,462.11,0.0,255487.60000000038
11-02-2024,POS: ZOMATO,675.87,0.0,254811.7300000004
11-02-2024,UPI/POS: INDIAN OIL,2190.53,0.0,252621.2000000004
11-02-2024,POS: MYNTRA,2897.32,0.0,249723.88000000038
11-02-2024,POS: STARBUCKS,262.38,0.0,249461.50000000038
11-02-2024,POS: AMAZON,1291.52,0.0,248169.9800000004
11-02-2024,UPI/POS: STARBUCKS,324.24,0.0,247845.7400000004
11-02-2024,POS: STARBUCKS,454.35,0.0,247391.3900000004
13-02-2024,UPI/POS: ATM WITHDRAWAL,9956.03,0.0,237435.3600000004
15-02-2024,UPI/POS: UPI: MAID,1748.07,0.0,235687.2900000004
15-02-2024,UPI/POS: MYNTRA,3871.41,0.0,231815.88000000038
17-02-2024,POS: ZOMATO,445.89,0.0,231369.99000000037
17-02-2024,POS: SWIGGY,334.06,0.0,231035.93000000037
17-02-2024,UPI/POS: ATM WITHDRAWAL,5217.65,0.0,225818.28000000038
17-02-2024,POS: STARBUCKS,449.32,0.0,225368.96000000037
18-02-2024,UPI/POS: BIGBASKET,1594.9,0.0,223774.06000000038
18-02-2024,POS: AMAZON,2424.54,0.0,221349.52000000037
18-02-2024,POS: SWIGGY,362.3,0.0,220987.22000000038
18-02-2024,POS: FLIPKART,1762.73,0.0,219224.49000000037
20-02-2024,UPI/POS: PRACTO,902.51,0.0,218321.98000000036
21-02-2024,UPI/POS: ATM WITHDRAWAL,9675.44,0.0,208646.54000000036
21-02-2024,UPI/POS: MYNTRA,2919.59,0.0,205726.95000000036
21-02-2024,UPI/POS: STARBUCKS,325.78,0.0,205401.17000000036
21-02-2024,UPI/POS: INSTAMART,273.63,0.0,205127.54000000036
24-02-2024,POS: SWIGGY,623.21,0.0,204504.33000000037
24-02-2024,UPI/POS: UPI: RAHUL SPLIT,678.34,0.0,203825.99000000037
24-02-2024,POS: STARBUCKS,301.8,0.0,203524.19000000038
24-02-2024,POS: MYNTRA,3386.73,0.0,200137.46000000037
25-02-2024,POS: SWIGGY,621.87,0.0,199515.59000000037
25-02-2024,UPI/POS: STARBUCKS,457.18,0.0,199058.41000000038
25-02-2024,POS: FLIPKART,739.29,0.0,198319.12000000037
25-02-2024,POS: FLIPKART,1475.96,0.0,196843.16000000038
28-02-2024,UPI/POS: AMAZON,2305.95,0.0,194537.21000000037
28-02-2024,UPI/POS: ATM WITHDRAWAL,2302.16,0.0,192235.05000000037
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,392235.0500000004
01-03-2024,NEFT: SALARY CREDIT,0.0,200000.0,592235.0500000004
02-03-2024,UPI: RENT,40000.0,0.0,552235.0500000004
02-03-2024,UPI: RENT,40000.0,0.0,512235.0500000004
02-03-2024,UPI/POS: MCDONALDS,398.65,0.0,511836.4000000004
02-03-2024,POS: ZOMATO,787.13,0.0,511049.27000000037
02-03-2024,POS: MCDONALDS,366.24,0.0,510683.0300000004
02-03-2024,POS: ZOMATO,447.11,0.0,510235.9200000004
03-03-2024,POS: ZOMATO,411.09,0.0,509824.83000000037
03-03-2024,UPI/POS: UPI: MAID,2076.93,0.0,507747.9000000004
03-03-2024,POS: ZOMATO,306.88,0.0,507441.02000000037
03-03-2024,POS: ZOMATO,598.83,0.0,506842.19000000035
04-03-2024,UPI/POS: ZOMATO,391.55,0.0,506450.64000000036
04-03-2024,UPI/POS: ZOMATO,796.42,0.0,505654.2200000004
04-03-2024,UPI/POS: UBER,353.78,0.0,505300.44000000035
05-03-2024,ACH: LOAN EMI,10000.0,0.0,495300.44000000035
05-03-2024,ACH: LOAN EMI,10000.0,0.0,485300.44000000035
05-03-2024,UPI/POS: CULT FIT,1500.0,0.0,483800.44000000035
07-03-2024,ACH: MUTUAL FUND SIP,5000.0,0.0,478800.44000000035
07-03-2024,ACH: MUTUAL FUND SIP,5000.0,0.0,473800.44000000035
09-03-2024,POS: MCDONALDS,403.97,0.0,473396.4700000004
09-03-2024,POS: STARBUCKS,392.82,0.0,473003.6500000004
09-03-2024,POS: ZOMATO,433.79,0.0,472569.8600000004
09-03-2024,UPI/POS: CULT FIT,1500.0,0.0,471069.8600000004
09-03-2024,POS: SWIGGY,543.83,0.0,470526.0300000004
09-03-2024,POS: FLIPKART,988.15,0.0,469537.88000000035
09-03-2024,UPI/POS: AMAZON,2266.47,0.0,467271.4100000004
09-03-2024,POS: AMAZON,2786.04,0.0,464485.3700000004
10-03-2024,POS: NETFLIX,649.0,0.0,463836.3700000004
10-03-2024,POS: NETFLIX,649.0,0.0,463187.3700000004
11-03-2024,UPI/POS: UPI: MAID,2045.86,0.0,461141.5100000004
12-03-2024,UPI/POS: MCDONALDS,262.28,0.0,460879.2300000004
13-03-2024,UPI/POS: INDIAN OIL,1196.72,0.0,459682.5100000004
13-03-2024,UPI/POS: APOLLO PHARMACY,475.94,0.0,459206.5700000004
14-03-2024,UPI/POS: CULT FIT,1500.0,0.0,457706.5700000004
15-03-2024,UPI/POS: CULT FIT,1500.0,0.0,456206.5700000004
17-03-2024,POS: AMAZON,2364.66,0.0,453841.91000000044
17-03-2024,POS: MCDONALDS,447.97,0.0,453393.94000000047
17-03-2024,UPI/POS: PRACTO,922.54,0.0,452471.4000000005
17-03-2024,POS: STARBUCKS,339.54,0.0,452131.8600000005
18-03-2024,UPI/POS: STARBUCKS,349.49,0.0,451782.3700000005
18-03-2024,UPI/POS: INDIAN OIL,2447.43,0.0,449334.9400000005
18-03-2024,UPI/POS: UBER,167.94,0.0,449167.0000000005
21-03-2024,UPI/POS: OLA CABS,365.62,0.0,448801.3800000005
21-03-2024,UPI/POS: ATM WITHDRAWAL,6898.69,0.0,441902.6900000005
21-03-2024,UPI/POS: BLINKIT,724.73,0.0,441177.96000000054
22-03-2024,UPI/POS: ATM WITHDRAWAL,7620.35,0.0,433557.61000000057
22-03-2024,UPI/POS: UBER,210.12,0.0,433347.4900000006
23-03-2024,POS: SWIGGY,606.24,0.0,432741.2500000006
23-03-2024,POS: SWIGGY,405.7,0.0,432335.55000000057
23-03-2024,POS: MYNTRA,3570.06,0.0,428765.4900000006
23-03-2024,POS: AMAZON,2179.75,0.0,426585.7400000006
23-03-2024,POS: ZOMATO,529.96,0.0,426055.78000000055
23-03-2024,POS: ZOMATO,430.73,0.0,425625.05000000057
23-03-2024,UPI/POS: AMAZON,2782.6,0.0,422842.4500000006
23-03-2024,UPI/POS: ATM WITHDRAWAL,4532.09,0.0,418310.36000000057
24-03-2024,POS: MYNTRA,2167.65,0.0,416142.71000000054
24-03-2024,POS: ZOMATO,518.52,0.0,415624.1900000005
24-03-2024,POS: SWIGGY,796.12,0.0,414828.07000000053
24-03-2024,UPI/POS: APOLLO PHARMACY,584.36,0.0,414243.71000000054
25-03-2024,UPI/POS: INSTAMART,517.51,0.0,413726.20000000054
25-03-2024,UPI/POS: UPI: MOM,3938.36,0.0,409787.84000000055
28-03-2024,UPI/POS: OLA CABS,225.88,0.0,409561.96000000054
28-03-2024,UPI/POS: UPI: MOM,4941.45,0.0,404620.51000000053
01-04-2024,NEFT: SALARY CREDIT,0.0,200000.0,604620.5100000005
01-04-2024,UPI/POS: NAMMA METRO,199.84,0.0,604420.6700000005
02-04-2024,UPI: RENT,40000.0,0.0,564420.6700000005
03-04-2024,UPI/POS: D-MART,2367.36,0.0,562053.3100000005
03-04-2024,UPI/POS: D-MART,4361.63,0.0,557691.6800000005
05-04-2024,ACH: LOAN EMI,10000.0,0.0,547691.6800000005
06-04-2024,POS: STARBUCKS,383.71,0.0,547307.9700000006
06-04-2024,POS: MCDONALDS,278.25,0.0,547029.7200000006
06-04-2024,POS: FLIPKART,746.27,0.0,546283.4500000005
06-04-2024,UPI/POS: BLINKIT,582.18,0.0,545701.2700000005
07-04-2024,POS: FLIPKART,755.91,0.0,544945.3600000005
07-04-2024,POS: MYNTRA,1668.24,0.0,543277.1200000005
07-04-2024,ACH: MUTUAL FUND SIP,5000.0,0.0,538277.1200000005
07-04-2024,UPI/POS: MYNTRA,2302.0,0.0,535975.1200000005
07-04-2024,POS: MYNTRA,3495.62,0.0,532479.5000000005
08-04-2024,UPI/POS: NAMMA METRO,159.21,0.0,532320.2900000005
08-04-2024,UPI/POS: OLA CABS,301.59,0.0,532018.7000000005
10-04-2024,POS: NETFLIX,649.0,0.0,531369.7000000005
11-04-2024,UPI/POS: MCDONALDS,213.15,0.0,531156.5500000005
11-04-2024,UPI/POS: SWIGGY,636.19,0.0,530520.3600000006
13-04-2024,POS: STARBUCKS,363.85,0.0,530156.5100000006
13-04-2024,UPI/POS: MCDONALDS,447.94,0.0,529708.5700000006
13-04-2024,POS: ZOMATO,545.33,0.0,529163.2400000007
13-04-2024,POS: MCDONALDS,508.24,0.0,528655.0000000007
14-04-2024,POS: STARBUCKS,282.18,0.0,528372.8200000006
14-04-2024,POS: STARBUCKS,268.38,0.0,528104.4400000006
14-04-2024,UPI/POS: D-MART,2100.44,0.0,526004.0000000007
14-04-2024,POS: SWIGGY,693.59,0.0,525310.4100000007
15-04-2024,UPI/POS: SWIGGY,769.84,0.0,524540.5700000008
16-04-2024,UPI/POS: UBER,347.95,0.0,524192.62000000075
16-04-2024,UPI/POS: AMAZON,2441.62,0.0,521751.00000000076
17-04-2024,UPI/POS: CULT FIT,1500.0,0.0,520251.00000000076
17-04-2024,UPI/POS: ATM WITHDRAWAL,5077.72,0.0,515173.2800000008
17-04-2024,UPI/POS: ATM WITHDRAWAL,9683.17,0.0,505490.1100000008
17-04-2024,UPI/POS: STARBUCKS,359.01,0.0,505131.1000000008
17-04-2024,UPI/POS: BLINKIT,314.22,0.0,504816.8800000008
18-04-2024,UPI/POS: MYNTRA,2172.48,0.0,502644.40000000084
18-04-2024,UPI/POS: BIGBASKET,1017.5,0.0,501626.90000000084
20-04-2024,POS: MCDONALDS,401.06,0.0,501225.84000000084
20-04-2024,POS: STARBUCKS,412.99,0.0,500812.85000000085
20-04-2024,UPI/POS: OLA CABS,352.68,0.0,500460.17000000086
20-04-2024,POS: MCDONALDS,525.65,0.0,499934.52000000083
21-04-2024,UPI/POS: NAMMA METRO,72.58,0.0,499861.9400000008
21-04-2024,POS: MCDONALDS,274.55,0.0,499587.3900000008
21-04-2024,POS: STARBUCKS,259.6,0.0,499327.79000000085
21-04-2024,POS: STARBUCKS,402.08,0.0,498925.71000000084
21-04-2024,POS: STARBUCKS,358.68,0.0,498567.03000000084
21-04-2024,POS: STARBUCKS,491.5,0.0,498075.53000000084
21-04-2024,POS: ZOMATO,337.47,0.0,497738.06000000087
21-04-2024,UPI/POS: INSTAMART,458.66,0.0,497279.4000000009
22-04-2024,UPI/POS: D-MART,3746.69,0.0,493532.7100000009
22-04-2024,UPI/POS: OLA CABS,347.38,0.0,493185.3300000009
24-04-2024,UPI/POS: CULT FIT,1500.0,0.0,491685.3300000009
26-04-2024,UPI/POS: ZOMATO,587.15,0.0,491098.18000000087
28-04-2024,UPI/POS: CULT FIT,1500.0,0.0,489598.18000000087
28-04-2024,POS: ZOMATO,424.79,0.0,489173.3900000009
28-04-2024,POS: MCDONALDS,236.31,0.0,488937.0800000009
28-04-2024,POS: ZOMATO,762.69,0.0,488174.3900000009
28-04-2024,POS: ZOMATO,399.79,0.0,487774.6000000009
28-04-2024,POS: MYNTRA,3167.16,0.0,484607.44000000093
28-04-2024,UPI/POS: ZOMATO,617.98,0.0,483989.46000000095
28-04-2024,POS: MCDONALDS,543.03,0.0,483446.4300000009
01-05-2024,UPI/POS: ZOMATO,386.88,0.0,483059.5500000009
01-05-2024,NEFT: SALARY CREDIT,0.0,200000.0,683059.550000001
01-05-2024,UPI/POS: ATM WITHDRAWAL,8192.29,0.0,674867.2600000009
02-05-2024,UPI: RENT,40000.0,0.0,634867.2600000009
03-05-2024,UPI/POS: OLA CABS,213.04,0.0,634654.2200000009
04-05-2024,UPI/POS: AMAZON,806.69,0.0,633847.530000001
04-05-2024,POS: FLIPKART,1555.21,0.0,632292.320000001
04-05-2024,POS: MCDONALDS,477.05,0.0,631815.270000001
04-05-2024,POS: ZOMATO,494.6,0.0,631320.670000001
05-05-2024,POS: SWIGGY,719.53,0.0,630601.140000001
05-05-2024,POS: FLIPKART,1615.17,0.0,628985.9700000009
05-05-2024,ACH: LOAN EMI,10000.0,0.0,618985.9700000009
05-05-2024,POS: ZOMATO,508.34,0.0,618477.6300000009
05-05-2024,POS: SWIGGY,418.47,0.0,618059.160000001
05-05-2024,POS: MYNTRA,2296.72,0.0,615762.440000001
05-05-2024,POS: MCDONALDS,403.4,0.0,615359.040000001
05-05-2024,UPI/POS: BLINKIT,694.66,0.0,614664.3800000009
05-05-2024,POS: FLIPKART,1718.91,0.0,612945.4700000009
05-05-2024,UPI/POS: CULT FIT,1500.0,0.0,611445.4700000009
05-05-2024,POS: STARBUCKS,314.43,0.0,611131.0400000009
05-05-2024,UPI/POS: OLA CABS,158.3,0.0,610972.7400000008
05-05-2024,POS: MYNTRA,1106.52,0.0,609866.2200000008
05-05-2024,POS: MCDONALDS,292.22,0.0,609574.0000000008
05-05-2024,POS: MCDONALDS,233.46,0.0,609340.5400000009
05-05-2024,UPI/POS: UPI: MAID,2642.21,0.0,606698.3300000009
05-05-2024,POS: MYNTRA,3081.2,0.0,603617.1300000009
06-05-2024,UPI/POS: PRACTO,798.07,0.0,602819.060000001
07-05-2024,ACH: MUTUAL FUND SIP,5000.0,0.0,597819.060000001
08-05-2024,UPI/POS: UPI: RAHUL SPLIT,882.88,0.0,596936.180000001
08-05-2024,UPI/POS: MCDONALDS,318.79,0.0,596617.390000001
09-05-2024,UPI/POS: UBER,169.85,0.0,596447.540000001
09-05-2024,UPI/POS: PRACTO,708.25,0.0,595739.290000001
10-05-2024,UPI/POS: ATM WITHDRAWAL,3661.15,0.0,592078.140000001
10-05-2024,POS: NETFLIX,649.0,0.0,591429.140000001
13-05-2024,UPI/POS: UPI: MOM,2183.57,0.0,589245.570000001
15-05-2024,UPI/POS: UPI: MOM,3566.86,0.0,585678.710000001
16-05-2024,UPI/POS: STARBUCKS,407.52,0.0,585271.190000001
16-05-2024,UPI/POS: UPI: MOM,4319.47,0.0,580951.720000001
17-05-2024,UPI/POS: OLA CABS,201.3,0.0,580750.420000001
17-05-2024,UPI/POS: MYNTRA,3191.34,0.0,577559.080000001
20-05-2024,UPI/POS: D-MART,4035.56,0.0,573523.520000001
22-05-2024,UPI/POS: UPI: MOM,4195.47,0.0,569328.050000001
23-05-2024,UPI/POS: FLIPKART,1080.07,0.0,568247.980000001
24-05-2024,UPI/POS: ZOMATO,686.03,0.0,567561.950000001
25-05-2024,UPI/POS: FLIPKART,1182.49,0.0,566379.460000001
25-05-2024,POS: SWIGGY,692.97,0.0,565686.490000001
25-05-2024,POS: FLIPKART,1194.53,0.0,564491.960000001
25-05-2024,POS: FLIPKART,672.04,0.0,563819.920000001
26-05-2024,POS: ZOMATO,699.19,0.0,563120.730000001
26-05-2024,POS: MCDONALDS,344.77,0.0,562775.960000001
26-05-2024,POS: STARBUCKS,365.44,0.0,562410.5200000011
26-05-2024,UPI/POS: D-MART,2502.58,0.0,559907.9400000011
27-05-2024,UPI/POS: ATM WITHDRAWAL,6418.27,0.0,553489.6700000011
27-05-2024,UPI/POS: PRACTO,627.06,0.0,552862.610000001
27-05-2024,UPI/POS: UPI: MAID,2068.25,0.0,550794.360000001
28-05-2024,UPI/POS: STARBUCKS,367.76,0.0,550426.600000001
01-06-2024,NEFT: SALARY CREDIT,0.0,200000.0,750426.600000001
02-06-2024,POS: ZOMATO,429.05,0.0,749997.550000001
02-06-2024,POS: AMAZON,948.92,0.0,749048.6300000009
02-06-2024,UPI: RENT,40000.0,0.0,709048.6300000009
02-06-2024,UPI/POS: PRACTO,657.02,0.0,708391.6100000009
02-06-2024,UPI/POS: FLIPKART,620.39,0.0,707771.2200000009
02-06-2024,POS: MCDONALDS,367.65,0.0,707403.5700000009
02-06-2024,POS: AMAZON,2542.51,0.0,704861.0600000009
02-06-2024,POS: STARBUCKS,444.69,0.0,704416.3700000009
02-06-2024,POS: SWIGGY,795.72,0.0,703620.650000001
02-06-2024,POS: ZOMATO,543.87,0.0,703076.780000001
02-06-2024,POS: FLIPKART,1265.74,0.0,701811.040000001
02-06-2024,UPI/POS: UPI: MOM,3875.43,0.0,697935.6100000009
02-06-2024,POS: SWIGGY,306.46,0.0,697629.150000001
04-06-2024,UPI/POS: ATM WITHDRAWAL,5574.36,0.0,692054.790000001
04-06-2024,UPI/POS: SWIGGY,530.22,0.0,691524.570000001
05-06-2024,UPI/POS: FLIPKART,1271.19,0.0,690253.380000001
05-06-2024,ACH: LOAN EMI,10000.0,0.0,680253.380000001
06-06-2024,UPI/POS: PRACTO,548.78,0.0,679704.600000001
06-06-2024,UPI/POS: UPI: MOM,3350.53,0.0,676354.070000001
07-06-2024,ACH: MUTUAL FUND SIP,5000.0,0.0,671354.070000001
08-06-2024,POS: ZOMATO,479.84,0.0,670874.230000001
08-06-2024,POS: STARBUCKS,411.24,0.0,670462.990000001
08-06-2024,UPI/POS: INSTAMART,673.88,0.0,669789.110000001
08-06-2024,POS: STARBUCKS,377.86,0.0,669411.250000001
09-06-2024,UPI/POS: AMAZON,1033.74,0.0,668377.510000001
09-06-2024,POS: STARBUCKS,393.87,0.0,667983.6400000011
09-06-2024,POS: MYNTRA,1514.82,0.0,666468.8200000011
09-06-2024,POS: AMAZON,1128.58,0.0,665340.2400000012
09-06-2024,POS: MCDONALDS,368.23,0.0,664972.0100000012
09-06-2024,POS: AMAZON,1128.02,0.0,663843.9900000012
09-06-2024,POS: STARBUCKS,336.12,0.0,663507.8700000012
09-06-2024,UPI/POS: UBER,172.68,0.0,663335.1900000011
10-06-2024,UPI/POS: UPI: MOM,4694.55,0.0,658640.6400000011
10-06-2024,POS: NETFLIX,649.0,0.0,657991.6400000011
10-06-2024,UPI/POS: ATM WITHDRAWAL,4750.05,0.0,653241.590000001
11-06-2024,UPI/POS: UPI: MOM,2539.44,0.0,650702.1500000011
12-06-2024,UPI/POS: MYNTRA,3236.56,0.0,647465.590000001
13-06-2024,UPI/POS: SWIGGY,652.73,0.0,646812.860000001
14-06-2024,UPI/POS: MCDONALDS,236.17,0.0,646576.690000001
15-06-2024,POS: ZOMATO,421.41,0.0,646155.280000001
15-06-2024,UPI/POS: ATM WITHDRAWAL,7586.68,0.0,638568.6000000009
15-06-2024,POS: STARBUCKS,480.57,0.0,638088.030000001
15-06-2024,POS: MYNTRA,1950.92,0.0,636137.1100000009
16-06-2024,POS: SWIGGY,571.76,0.0,635565.3500000009
16-06-2024,UPI/POS: OLA CABS,181.18,0.0,635384.1700000009
16-06-2024,UPI/POS: SWIGGY,684.21,0.0,634699.9600000009
16-06-2024,POS: AMAZON,1443.13,0.0,633256.8300000009
16-06-2024,POS: MCDONALDS,261.25,0.0,632995.5800000009
16-06-2024,POS: STARBUCKS,436.9,0.0,632558.6800000009
16-06-2024,POS: MCDONALDS,329.96,0.0,632228.7200000009
16-06-2024,UPI/POS: INSTAMART,679.53,0.0,631549.1900000009
16-06-2024,POS: FLIPKART,1750.73,0.0,629798.4600000009
16-06-2024,POS: FLIPKART,528.87,0.0,629269.5900000009
16-06-2024,POS: SWIGGY,759.3,0.0,628510.2900000009
16-06-2024,POS: SWIGGY,473.28,0.0,628037.0100000008
19-06-2024,UPI/POS: D-MART,2445.32,0.0,625591.6900000009
20-06-2024,UPI/POS: D-MART,4813.18,0.0,620778.5100000008
20-06-2024,UPI/POS: SWIGGY,688.8,0.0,620089.7100000008
21-06-2024,UPI/POS: BIGBASKET,2832.29,0.0,617257.4200000007
24-06-2024,UPI/POS: UPI: MAID,2666.08,0.0,614591.3400000008
25-06-2024,UPI/POS: SWIGGY,321.7,0.0,614269.6400000008
26-06-2024,UPI/POS: APOLLO PHARMACY,759.58,0.0,613510.0600000009
26-06-2024,UPI/POS: MCDONALDS,257.82,0.0,613252.2400000009
26-06-2024,UPI/POS: UPI: MAID,2136.26,0.0,611115.9800000009
01-07-2024,NEFT: SALARY CREDIT,0.0,200000.0,811115.9800000009
02-07-2024,UPI: RENT,40000.0,0.0,771115.9800000009
04-07-2024,UPI/POS: ATM WITHDRAWAL,3549.62,0.0,767566.3600000009
04-07-2024,UPI/POS: UPI: MAID,1997.33,0.0,765569.030000001
