Date,Narration,Withdrawal,Deposit
02-08-2025,UPI/POS: SWIGGY,338.67,0.0
02-08-2025,UPI/POS: BLINKIT,272.33,0.0
02-08-2025,UPI/POS: SWIGGY,341.11,0.0
02-08-2025,UPI: LANDLORD RENT,35000.0,0.0
02-08-2025,UPI/POS: UBER,244.3,0.0
02-08-2025,UPI/POS: UPI: PRIYA SPLITWISE,1279.85,0.0
03-08-2025,UPI/POS: SWIGGY,171.85,0.0
03-08-2025,UPI/POS: UPI: AMIT SPLITWISE,106.49,0.0
03-08-2025,UPI/POS: BLINKIT,449.29,0.0
03-08-2025,UPI/POS: LOCAL BAKERY,102.86,0.0
03-08-2025,UPI/POS: SWIGGY,314.03,0.0
04-08-2025,UPI/POS: UBER,327.84,0.0
04-08-2025,UPI/POS: NAMMA METRO,48.65,0.0
04-08-2025,UPI/POS: NAMMA METRO,47.64,0.0
04-08-2025,UPI/POS: UPI: TEA STALL,28.3,0.0
05-08-2025,UPI/POS: UBER,386.63,0.0
05-08-2025,UPI/POS: LOCAL BAKERY,91.03,0.0
05-08-2025,UPI/POS: UPI: KIRANA,31.02,0.0
05-08-2025,UPI/POS: AMAZON,214.24,0.0
05-08-2025,ACH: HDFC AUTO LOAN,15000.0,0.0
05-08-2025,UPI/POS: UPI: TEA STALL,29.77,0.0
05-08-2025,UPI/POS: UPI: TEA STALL,23.68,0.0
06-08-2025,UPI/POS: NAMMA METRO,43.7,0.0
06-08-2025,UPI/POS: BLINKIT,572.72,0.0
06-08-2025,UPI/POS: OLA CABS,178.75,0.0
07-08-2025,UPI/POS: STARBUCKS,330.21,0.0
07-08-2025,UPI/POS: STARBUCKS,324.81,0.0
07-08-2025,UPI/POS: LOCAL BAKERY,76.92,0.0
07-08-2025,UPI/POS: ZEPTO,149.06,0.0
07-08-2025,UPI/POS: NAMMA METRO,56.19,0.0
07-08-2025,UPI/POS: UPI: TEA STALL,26.08,0.0
08-08-2025,UPI/POS: ZEPTO,180.9,0.0
08-08-2025,UPI/POS: BLINKIT,209.16,0.0
09-08-2025,UPI/POS: UPI: AUTO,84.9,0.0
09-08-2025,UPI/POS: ZEPTO,316.39,0.0
09-08-2025,UPI/POS: NAMMA METRO,36.02,0.0
09-08-2025,UPI/POS: BLINKIT,562.19,0.0
09-08-2025,UPI/POS: NAMMA METRO,33.16,0.0
09-08-2025,UPI/POS: STARBUCKS,329.68,0.0
09-08-2025,UPI/POS: OLA CABS,108.47,0.0
10-08-2025,POS: NETFLIX,649.0,0.0
10-08-2025,UPI/POS: UPI: TEA STALL,27.88,0.0
10-08-2025,POS: SPOTIFY,119.0,0.0
10-08-2025,UPI/POS: NAMMA METRO,46.11,0.0
10-08-2025,BBPS: AIRTEL WIFI,1180.0,0.0
10-08-2025,UPI/POS: UPI: AUTO,95.67,0.0
10-08-2025,UPI/POS: ZEPTO,251.9,0.0
10-08-2025,UPI/POS: BLINKIT,414.14,0.0
10-08-2025,UPI/POS: LOCAL BAKERY,133.35,0.0
11-08-2025,UPI/POS: LOCAL BAKERY,142.53,0.0
11-08-2025,UPI/POS: NAMMA METRO,54.17,0.0
11-08-2025,UPI/POS: NAMMA METRO,44.14,0.0
11-08-2025,UPI/POS: LOCAL BAKERY,138.58,0.0
11-08-2025,UPI/POS: NAMMA METRO,40.86,0.0
11-08-2025,UPI/POS: OLA CABS,108.74,0.0
12-08-2025,UPI/POS: ZOMATO,222.61,0.0
12-08-2025,UPI/POS: ZEPTO,398.85,0.0
12-08-2025,UPI/POS: AMAZON,703.9,0.0
12-08-2025,UPI/POS: UBER,253.45,0.0
12-08-2025,UPI/POS: OLA CABS,262.8,0.0
13-08-2025,UPI/POS: BLINKIT,325.19,0.0
13-08-2025,UPI/POS: OLA CABS,125.71,0.0
13-08-2025,UPI/POS: STARBUCKS,309.35,0.0
13-08-2025,UPI/POS: AMAZON,446.49,0.0
13-08-2025,UPI/POS: LOCAL BAKERY,84.76,0.0
13-08-2025,UPI/POS: ZEPTO,258.29,0.0
13-08-2025,UPI/POS: BLINKIT,439.42,0.0
14-08-2025,UPI/POS: STARBUCKS,387.52,0.0
14-08-2025,UPI/POS: BLINKIT,510.87,0.0
14-08-2025,UPI/POS: LOCAL BAKERY,81.37,0.0
14-08-2025,UPI/POS: UPI: AUTO,88.71,0.0
14-08-2025,UPI/POS: NAMMA METRO,35.15,0.0
14-08-2025,UPI/POS: LOCAL BAKERY,139.48,0.0
14-08-2025,UPI/POS: ZEPTO,128.15,0.0
15-08-2025,UPI/POS: ZEPTO,263.43,0.0
15-08-2025,UPI/POS: LOCAL BAKERY,135.62,0.0
16-08-2025,UPI/POS: BLINKIT,405.68,0.0
17-08-2025,UPI/POS: OLA CABS,115.34,0.0
17-08-2025,UPI/POS: NAMMA METRO,34.7,0.0
17-08-2025,UPI/POS: UBER,315.48,0.0
17-08-2025,UPI/POS: STARBUCKS,254.64,0.0
17-08-2025,UPI/POS: UPI: KIRANA,72.41,0.0
17-08-2025,UPI/POS: UPI: KIRANA,96.8,0.0
18-08-2025,UPI/POS: AMAZON,1260.57,0.0
18-08-2025,UPI/POS: UPI: TEA STALL,27.07,0.0
18-08-2025,UPI/POS: UBER,179.76,0.0
18-08-2025,UPI/POS: ZEPTO,291.77,0.0
18-08-2025,UPI/POS: NAMMA METRO,47.86,0.0
18-08-2025,UPI/POS: STARBUCKS,317.24,0.0
18-08-2025,UPI/POS: UPI: KIRANA,60.05,0.0
18-08-2025,UPI/POS: ZEPTO,362.62,0.0
18-08-2025,UPI/POS: UPI: TEA STALL,17.18,0.0
18-08-2025,UPI/POS: OLA CABS,130.19,0.0
18-08-2025,UPI/POS: SWIGGY,162.34,0.0
18-08-2025,UPI/POS: OLA CABS,280.38,0.0
18-08-2025,UPI/POS: UPI: KIRANA,52.85,0.0
19-08-2025,UPI/POS: ZOMATO,312.22,0.0
19-08-2025,UPI/POS: UBER,338.53,0.0
19-08-2025,UPI/POS: UPI: TEA STALL,16.29,0.0
19-08-2025,UPI/POS: UPI: KIRANA,52.97,0.0
19-08-2025,UPI/POS: NAMMA METRO,46.63,0.0
20-08-2025,UPI/POS: STARBUCKS,352.4,0.0
20-08-2025,UPI/POS: UBER,293.91,0.0
20-08-2025,UPI/POS: SWIGGY,281.77,0.0
20-08-2025,UPI/POS: ZOMATO,190.84,0.0
20-08-2025,UPI/POS: UPI: TEA STALL,18.6,0.0
21-08-2025,UPI/POS: UBER,248.7,0.0
21-08-2025,UPI/POS: BLINKIT,167.11,0.0
21-08-2025,UPI/POS: LOCAL BAKERY,132.96,0.0
21-08-2025,UPI/POS: SWIGGY,399.54,0.0
22-08-2025,UPI/POS: UBER,170.76,0.0
22-08-2025,UPI/POS: UPI: AUTO,90.37,0.0
22-08-2025,UPI/POS: UPI: TEA STALL,28.07,0.0
22-08-2025,UPI/POS: UPI: AUTO,89.46,0.0
22-08-2025,UPI/POS: AMAZON,418.19,0.0
22-08-2025,UPI/POS: UPI: AUTO,85.77,0.0
23-08-2025,UPI/POS: OLA CABS,177.56,0.0
23-08-2025,UPI/POS: UBER,312.42,0.0
23-08-2025,UPI/POS: UPI: AUTO,82.46,0.0
23-08-2025,UPI/POS: UPI: AUTO,94.89,0.0
23-08-2025,UPI/POS: UPI: KIRANA,32.43,0.0
23-08-2025,UPI/POS: UPI: TEA STALL,23.11,0.0
23-08-2025,UPI/POS: LOCAL BAKERY,70.07,0.0
24-08-2025,UPI/POS: LOCAL BAKERY,146.82,0.0
24-08-2025,UPI/POS: OLA CABS,297.04,0.0
24-08-2025,UPI/POS: STARBUCKS,254.17,0.0
25-08-2025,UPI/POS: STARBUCKS,267.83,0.0
25-08-2025,UPI/POS: UPI: AUTO,96.47,0.0
25-08-2025,UPI/POS: SWIGGY,356.04,0.0
25-08-2025,UPI/POS: AMAZON,1452.08,0.0
25-08-2025,UPI/POS: OLA CABS,272.96,0.0
25-08-2025,UPI/POS: UPI: AUTO,60.23,0.0
25-08-2025,UPI/POS: NAMMA METRO,55.47,0.0
25-08-2025,UPI/POS: ZEPTO,350.74,0.0
26-08-2025,UPI/POS: AMAZON,948.6,0.0
26-08-2025,UPI/POS: UPI: AUTO,91.31,0.0
26-08-2025,UPI/POS: ZOMATO,191.58,0.0
27-08-2025,UPI/POS: UPI: TEA STALL,28.75,0.0
28-08-2025,UPI/POS: NAMMA METRO,37.99,0.0
28-08-2025,UPI/POS: LOCAL BAKERY,123.65,0.0
28-08-2025,UPI/POS: UPI: PRIYA SPLITWISE,386.38,0.0
28-08-2025,UPI/POS: UPI: AMIT SPLITWISE,1426.85,0.0
28-08-2025,UPI/POS: AMAZON,943.52,0.0
28-08-2025,UPI/POS: LOCAL BAKERY,101.33,0.0
29-08-2025,UPI/POS: UPI: AUTO,92.06,0.0
29-08-2025,UPI/POS: UPI: TEA STALL,21.4,0.0
29-08-2025,UPI/POS: ZEPTO,399.22,0.0
29-08-2025,UPI/POS: UPI: NEHA SPLITWISE,1638.51,0.0
29-08-2025,UPI/POS: LOCAL BAKERY,149.13,0.0
29-08-2025,UPI/POS: UPI: KIRANA,80.95,0.0
30-08-2025,UPI/POS: UPI: KIRANA,42.68,0.0
30-08-2025,UPI/POS: ZEPTO,191.32,0.0
30-08-2025,UPI/POS: UPI: AUTO,54.04,0.0
30-08-2025,UPI/POS: NAMMA METRO,58.79,0.0
30-08-2025,UPI/POS: STARBUCKS,292.55,0.0
30-08-2025,UPI/POS: OLA CABS,159.25,0.0
31-08-2025,UPI/POS: AMAZON,1010.42,0.0
31-08-2025,UPI/POS: UPI: TEA STALL,16.58,0.0
31-08-2025,UPI/POS: UPI: AUTO,83.29,0.0
31-08-2025,UPI/POS: UPI: AUTO,97.41,0.0
01-09-2025,UPI/POS: NAMMA METRO,47.66,0.0
01-09-2025,UPI/POS: ZEPTO,167.97,0.0
01-09-2025,UPI/POS: ZEPTO,161.69,0.0
01-09-2025,NEFT: ACME CORP SALARY,0.0,250000.0
02-09-2025,UPI/POS: SWIGGY,182.63,0.0
02-09-2025,UPI/POS: STARBUCKS,359.35,0.0
02-09-2025,UPI: LANDLORD RENT,35000.0,0.0
02-09-2025,UPI/POS: NAMMA METRO,33.41,0.0
02-09-2025,UPI/POS: ZEPTO,120.3,0.0
02-09-2025,UPI/POS: UPI: KIRANA,86.74,0.0
03-09-2025,UPI/POS: UPI: RAHUL SPLITWISE,1185.2,0.0
03-09-2025,UPI/POS: UPI: AUTO,78.26,0.0
03-09-2025,UPI/POS: UPI: TEA STALL,20.9,0.0
03-09-2025,UPI/POS: UPI: TEA STALL,20.01,0.0
04-09-2025,UPI/POS: ZEPTO,356.63,0.0
04-09-2025,UPI/POS: UPI: TEA STALL,26.61,0.0
05-09-2025,UPI/POS: UPI: AUTO,65.72,0.0
05-09-2025,UPI/POS: SWIGGY,331.39,0.0
05-09-2025,ACH: HDFC AUTO LOAN,15000.0,0.0
05-09-2025,UPI/POS: UBER,282.12,0.0
06-09-2025,UPI/POS: UPI: RAHUL SPLITWISE,774.48,0.0
06-09-2025,UPI/POS: NAMMA METRO,41.09,0.0
06-09-2025,UPI/POS: UBER,160.07,0.0
06-09-2025,UPI/POS: UBER,225.69,0.0
06-09-2025,UPI/POS: BLINKIT,154.83,0.0
06-09-2025,UPI/POS: UPI: KIRANA,79.69,0.0
06-09-2025,UPI/POS: SWIGGY,265.83,0.0
06-09-2025,UPI/POS: ZEPTO,257.7,0.0
07-09-2025,UPI/POS: LOCAL BAKERY,113.84,0.0
07-09-2025,UPI/POS: ZOMATO,369.44,0.0
07-09-2025,UPI/POS: UPI: AUTO,83.77,0.0
07-09-2025,UPI/POS: NAMMA METRO,37.28,0.0
07-09-2025,UPI/POS: SWIGGY,255.08,0.0
07-09-2025,UPI/POS: UPI: TEA STALL,26.67,0.0
08-09-2025,UPI/POS: UPI: AUTO,78.64,0.0
08-09-2025,UPI/POS: UPI: AUTO,54.74,0.0
08-09-2025,UPI/POS: UPI: KIRANA,47.43,0.0
08-09-2025,UPI/POS: SWIGGY,249.48,0.0
08-09-2025,UPI/POS: OLA CABS,256.33,0.0
09-09-2025,UPI/POS: BLINKIT,567.59,0.0
09-09-2025,UPI/POS: UPI: TEA STALL,25.25,0.0
09-09-2025,UPI/POS: OLA CABS,269.53,0.0
09-09-2025,UPI/POS: ZEPTO,321.49,0.0
09-09-2025,UPI/POS: OLA CABS,186.75,0.0
09-09-2025,UPI/POS: UPI: KIRANA,94.97,0.0
10-09-2025,UPI/POS: STARBUCKS,319.46,0.0
10-09-2025,UPI/POS: ZEPTO,237.13,0.0
10-09-2025,UPI/POS: SWIGGY,371.32,0.0
10-09-2025,POS: NETFLIX,649.0,0.0
10-09-2025,POS: SPOTIFY,119.0,0.0
10-09-2025,BBPS: AIRTEL WIFI,1180.0,0.0
10-09-2025,UPI/POS: ZOMATO,309.2,0.0
10-09-2025,UPI/POS: STARBUCKS,377.82,0.0
11-09-2025,UPI/POS: UPI: KIRANA,75.41,0.0
11-09-2025,UPI/POS: OLA CABS,243.73,0.0
11-09-2025,UPI/POS: SWIGGY,189.1,0.0
12-09-2025,UPI/POS: ZOMATO,243.53,0.0
12-09-2025,UPI/POS: STARBUCKS,395.74,0.0
12-09-2025,UPI/POS: UPI: AUTO,64.54,0.0
12-09-2025,UPI/POS: STARBUCKS,256.42,0.0
12-09-2025,UPI/POS: BLINKIT,291.02,0.0
12-09-2025,UPI/POS: NAMMA METRO,39.44,0.0
13-09-2025,UPI/POS: UPI: RAHUL SPLITWISE,1274.09,0.0
13-09-2025,UPI/POS: UBER,154.25,0.0
13-09-2025,UPI/POS: OLA CABS,143.75,0.0
13-09-2025,UPI/POS: STARBUCKS,280.75,0.0
13-09-2025,UPI/POS: OLA CABS,244.02,0.0
14-09-2025,UPI/POS: BLINKIT,476.88,0.0
14-09-2025,UPI/POS: UPI: TEA STALL,16.54,0.0
14-09-2025,UPI/POS: UPI: TEA STALL,29.77,0.0
14-09-2025,UPI/POS: NAMMA METRO,51.03,0.0
14-09-2025,UPI/POS: OLA CABS,121.98,0.0
14-09-2025,UPI/POS: NAMMA METRO,40.98,0.0
15-09-2025,UPI/POS: ZEPTO,282.42,0.0
15-09-2025,UPI/POS: UPI: AUTO,84.02,0.0
15-09-2025,UPI/POS: LOCAL BAKERY,53.41,0.0
16-09-2025,UPI/POS: SWIGGY,319.39,0.0
16-09-2025,UPI/POS: ZOMATO,245.52,0.0
16-09-2025,UPI/POS: UBER,293.84,0.0
16-09-2025,UPI/POS: NAMMA METRO,38.74,0.0
16-09-2025,UPI/POS: AMAZON,368.9,0.0
16-09-2025,UPI/POS: LOCAL BAKERY,96.5,0.0
17-09-2025,UPI/POS: OLA CABS,298.18,0.0
17-09-2025,UPI/POS: UPI: KIRANA,25.26,0.0
17-09-2025,UPI/POS: ZEPTO,261.09,0.0
17-09-2025,UPI/POS: STARBUCKS,289.38,0.0
17-09-2025,UPI/POS: NAMMA METRO,41.69,0.0
18-09-2025,UPI/POS: ZEPTO,276.14,0.0
18-09-2025,UPI/POS: UPI: KIRANA,48.99,0.0
18-09-2025,UPI/POS: NAMMA METRO,32.77,0.0
18-09-2025,UPI/POS: BLINKIT,540.61,0.0
18-09-2025,UPI/POS: UPI: KIRANA,84.55,0.0
19-09-2025,UPI/POS: STARBUCKS,259.95,0.0
19-09-2025,UPI/POS: NAMMA METRO,37.86,0.0
19-09-2025,UPI/POS: BLINKIT,572.06,0.0
19-09-2025,UPI/POS: UPI: NEHA SPLITWISE,132.44,0.0
19-09-2025,UPI/POS: SWIGGY,150.74,0.0
20-09-2025,UPI/POS: STARBUCKS,273.61,0.0
20-09-2025,UPI/POS: UPI: AUTO,64.63,0.0
20-09-2025,UPI/POS: UPI: TEA STALL,26.88,0.0
20-09-2025,UPI/POS: UPI: KIRANA,23.68,0.0
21-09-2025,UPI/POS: ZOMATO,309.94,0.0
21-09-2025,UPI/POS: UPI: RAHUL SPLITWISE,452.97,0.0
21-09-2025,UPI/POS: UPI: RAHUL SPLITWISE,1867.31,0.0
22-09-2025,UPI/POS: UPI: KIRANA,89.36,0.0
22-09-2025,UPI/POS: UBER,379.43,0.0
22-09-2025,UPI/POS: NAMMA METRO,35.93,0.0
23-09-2025,UPI/POS: OLA CABS,125.01,0.0
23-09-2025,UPI/POS: AMAZON,847.0,0.0
23-09-2025,UPI/POS: UBER,164.38,0.0
23-09-2025,UPI/POS: UPI: TEA STALL,17.93,0.0
23-09-2025,UPI/POS: AMAZON,1200.42,0.0
23-09-2025,UPI/POS: SWIGGY,166.68,0.0
23-09-2025,UPI/POS: LOCAL BAKERY,118.02,0.0
24-09-2025,UPI/POS: UPI: TEA STALL,16.79,0.0
24-09-2025,UPI/POS: UPI: KIRANA,21.63,0.0
24-09-2025,UPI/POS: UPI: TEA STALL,28.43,0.0
24-09-2025,UPI/POS: UPI: PRIYA SPLITWISE,1886.44,0.0
24-09-2025,UPI/POS: AMAZON,1388.85,0.0
24-09-2025,UPI/POS: BLINKIT,199.7,0.0
25-09-2025,UPI/POS: OLA CABS,185.8,0.0
25-09-2025,UPI/POS: UPI: NEHA SPLITWISE,313.69,0.0
25-09-2025,UPI/POS: UBER,213.47,0.0
25-09-2025,UPI/POS: UPI: AUTO,61.88,0.0
25-09-2025,UPI/POS: SWIGGY,281.8,0.0
25-09-2025,UPI/POS: AMAZON,998.25,0.0
25-09-2025,UPI/POS: SWIGGY,373.96,0.0
26-09-2025,UPI/POS: LOCAL BAKERY,110.34,0.0
26-09-2025,UPI/POS: LOCAL BAKERY,133.19,0.0
26-09-2025,UPI/POS: STARBUCKS,284.95,0.0
26-09-2025,UPI/POS: UPI: TEA STALL,19.85,0.0
26-09-2025,UPI/POS: AMAZON,534.3,0.0
27-09-2025,UPI/POS: AMAZON,1009.33,0.0
27-09-2025,UPI/POS: STARBUCKS,276.66,0.0
